win_rate_diff,form_diff,h2h,target
-0.022558922558922556,0.30000000000000004,-0.07142857142857145,0
-0.027647943146098142,-0.20000000000000007,0.02777777777777779,1
-0.05234657039711188,-0.29999999999999993,0.16666666666666663,1
-0.08181818181818179,-0.09999999999999998,0.25,0
-0.034090909090909116,0.09999999999999998,0.0,1
0.035663753641281715,0.5,0.0757575757575758,1
0.03161131611316109,0.19999999999999996,0.5,1
0.03719505524559674,0.19999999999999996,0.18571428571428572,1
-0.026683501683501698,-0.30000000000000004,-0.013513513513513487,1
0.04307116104868913,0.10000000000000003,0.0,0
0.08740192095061744,0.09999999999999998,0.0714285714285714,1
0.049242424242424254,0.0,0.12857142857142856,1
-0.0597539778045193,0.10000000000000009,-0.08823529411764708,0
-0.06666666666666665,0.0,0.25,1
0.0502068657050207,-0.09999999999999998,0.16666666666666663,1
-0.008980251957780017,-0.2,-0.01428571428571429,1
0.11901323706377853,0.29999999999999993,0.0,1
-0.007407407407407418,0.4,0.0,0
-0.05822267620020427,-0.2,-0.05882352941176472,0
-0.0009644414625964437,0.09999999999999998,0.08823529411764708,1
-0.059259259259259234,-0.4,-0.09999999999999998,0
0.008015810495183573,0.3,0.013513513513513487,1
-0.086437479488021,-0.19999999999999996,0.0,0
0.08181818181818179,0.09999999999999998,-0.25,0
0.09541773144580101,0.39999999999999997,0.06756756756756754,1
0.03505535055350556,-0.19999999999999996,0.25,1
-0.032575757575757536,-0.09999999999999998,0.0,0
0.022558922558922556,-0.30000000000000004,0.0714285714285714,1
0.05234657039711188,0.29999999999999993,-0.16666666666666669,0
-0.015151515151515138,-0.09999999999999998,-0.25,0
0.059259259259259234,0.4,0.09999999999999998,0
0.05822267620020427,0.2,0.05882352941176472,1
0.0009644414625964437,-0.09999999999999998,-0.08823529411764708,0
0.007407407407407418,-0.4,0.0,1
-0.11901323706377853,-0.29999999999999993,0.0,0
0.008980251957780017,0.2,0.014285714285714235,1
-0.0502068657050207,0.09999999999999998,-0.16666666666666669,1
0.0597539778045193,-0.10000000000000009,0.08823529411764708,1
0.06666666666666665,0.0,-0.25,1
-0.008015810495183573,-0.3,-0.013513513513513487,1
0.015151515151515138,0.09999999999999998,0.25,0
0.02359550561797752,-0.10000000000000003,0.25,1
0.026683501683501698,0.30000000000000004,0.013513513513513487,0
-0.03505535055350556,0.19999999999999996,-0.25,0
-0.09541773144580101,-0.39999999999999997,-0.06756756756756754,0
-0.022558922558922556,0.30000000000000004,-0.07142857142857145,0
0.032575757575757536,0.09999999999999998,0.0,0
-0.08740192095061744,-0.09999999999999998,-0.07142857142857145,1
-0.049242424242424254,0.0,-0.12857142857142856,1
-0.02359550561797752,0.10000000000000003,-0.25,0
0.086437479488021,0.19999999999999996,0.0,0
-0.04307116104868913,-0.10000000000000003,0.0,1
-0.03161131611316109,-0.19999999999999996,-0.5,0
-0.03719505524559674,-0.19999999999999996,-0.18571428571428572,0
0.034090909090909116,-0.09999999999999998,0.0,1
-0.035663753641281715,-0.5,-0.07575757575757575,0
0.05234657039711188,0.29999999999999993,-0.16666666666666669,0
-0.0502068657050207,0.09999999999999998,-0.16666666666666669,0
0.03719505524559674,0.19999999999999996,0.18571428571428572,1
0.05234657039711188,0.29999999999999993,-0.16666666666666669,1
-0.015113747063205563,0.39999999999999997,0.038461538461538436,0
-0.008980251957780017,-0.2,-0.01428571428571429,0
-0.022558922558922556,0.30000000000000004,-0.07142857142857145,0
